Designator,Mid X,Mid Y,Rotation,Layer
J1,89.46,-90.7225,0.0,top
J2,124.46,-90.7225,0.0,top
RV1,112.0,-93.775,270.0,top
U1,106.65,-72.88,0.0,top
U2,109.5,-51.0,0.0,top
U3,76.92,-98.685,0.0,top
